start_station_name,lat,lon
Lincolnwood Dr & Central St,42.064854,-87.715297
Columbus Dr & Randolph St,41.884728,-87.619521
Union Ave & Root St,41.819150448,-87.64330864
Michigan Ave & 8th St,41.872773,-87.623981
Canal St & Adams St,41.879255,-87.639904
Wentworth Ave & 33rd St,41.83452988563,-87.6318229814
Broadway & Waveland Ave,41.949074,-87.648636
Austin Blvd & Lake St,41.887919,-87.774446
Wentworth Ave & Cermak Rd,41.85308455741279,-87.63193130493164
Clybourn Ave & Division St,41.904613,-87.640552
Halsted St & 21st St,41.85377981072743,-87.6466029882431
Albany Ave & Bloomingdale Ave,41.913977,-87.70515833333333
Clarendon Ave & Gordon Ter,41.95777666666667,-87.64952866666667
Winchester Ave & Elston Ave,41.92409085038,-87.6764600747
Manor Ave & Leland Ave,41.965875,-87.700825
Clark St & Wrightwood Ave,41.929660166666665,-87.64306516666667
Streeter Dr & Grand Ave,41.892278,-87.612043
Broadway & Wilson - Truman College Vaccination Site,41.965221,-87.658139
Lincoln Ave & Winona St,41.97488716666667,-87.69269633333333
Normal Ave & Archer Ave,41.849527,-87.640591
Burling St & Diversey Pkwy,41.93314,-87.64776
Shields Ave & 28th Pl,41.842733,-87.635491
Lockwood Ave & Wrightwood Ave,41.93,-87.76
Sedgwick St & Huron St,41.894666,-87.638437
DuSable Lake Shore Dr & Belmont Ave,41.940775,-87.639192
Clark St & Elm St,41.902973,-87.63128
Broadway & Berwyn Ave,41.978353,-87.659753
Woodlawn Ave & Lake Park Ave,41.81409271048,-87.5970051479
Lakefront Trail & Bryn Mawr Ave,41.98403669612,-87.6523104689
Prairie Ave & 43rd St,41.81665889302,-87.6194124619
Western Ave & Howard St,42.01900833333333,-87.689989
Morgan Ave & 14th Pl,41.862378,-87.651062
Throop St & 52nd St,41.79967333333333,-87.65722766666667
Cottage Grove Ave & 47th St,41.809855,-87.606755
Woodlawn Ave & 55th St,41.795264,-87.596471
Kimbark Ave & 53rd St,41.799568,-87.594747
South Shore Dr & 67th St,41.773643,-87.567514
Ritchie Ct & Banks St,41.906866,-87.626217
Damen Ave & Wellington Ave,41.93588,-87.67842
Paulina St & Montrose Ave,41.961507,-87.671387
Kilpatrick Ave & Parker Ave,41.93,-87.74
California Ave & Milwaukee Ave,41.92264033333333,-87.69710033333334
Rockwell St & Eastwood Ave,41.96585983333333,-87.69364883333333
Ashland Ave & Augusta Blvd,41.899609833333336,-87.6684195
Clifton Ave & Armitage Ave,41.91812916666667,-87.65704833333334
Lincoln Ave & Diversey Pkwy,41.932185833333335,-87.6586185
Clark St & Chicago Ave,41.8965635,-87.63095333333334
Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973
Franklin St & Chicago Ave,41.8968485,-87.635734
Financial Pl & Ida B Wells Dr,41.874937057,-87.633118033
Fairfield Ave & Roosevelt Rd,41.86662883333333,-87.6945085
Clark St & Columbia Ave,42.00445062934,-87.6724024047
Clark St & Jarvis Ave,42.0159125,-87.67497616666667
Elizabeth (May) St & Fulton St,41.88656266666667,-87.658464
New St & Illinois St,41.89103033333333,-87.61812366666666
Eastlake Ter & Rogers Ave,42.0208872805206,-87.66505792737007
Laflin St & Cullerton St,41.854877234,-87.663600564
Wells St & Hubbard St,41.889906,-87.634266
Southport Ave & Wellington Ave,41.935733,-87.663576
Stetson Ave & South Water St,41.886835,-87.62232
Ashland Ave & Blackhawk St,41.907066,-87.667252
Warren Park West,42.001785,-87.688829
Damen Ave & Foster Ave,41.97561480459,-87.6794590387
Halsted St & 56th St,41.79293,-87.64499
University Library (NU),42.052939,-87.673447
Elston Ave & Wabansia Ave,41.91292683333333,-87.66420383333333
Ridge Blvd & Howard St,42.019276,-87.68452
Kedzie Ave & Foster Ave,41.97567883333333,-87.70933916666667
Dodge Ave & Mulford St,42.023463,-87.699595
Campbell Ave & Montrose Ave,41.96152593287,-87.6911650414
Ravenswood Ave & Lawrence Ave,41.96909,-87.674237
Western Ave & Leland Ave,41.96645016666667,-87.688672
Dearborn St & Monroe St,41.881254166666665,-87.629843
Pine Grove Ave & Irving Park Rd,41.954405785,-87.648068428
Budlong Woods Library,41.98366470886,-87.6964225611
Sheridan Rd & Columbia Ave,42.004583,-87.66149783333333
Greenview Ave & Jarvis Ave,42.015962,-87.66857
Dodge Ave & Church St,42.048308,-87.698224
Elmwood Ave & Austin St,42.025784,-87.684107
Kedzie Ave & 52nd St,41.8,-87.7
W Armitage Ave & N Sheffield Ave,41.92,-87.65
Adler Planetarium,41.866095,-87.607267
Major Taylor Trail & 124th St,41.66869635332246,-87.63711333274841
Sheridan Rd & Loyola Ave,42.00104377979,-87.6611982433
Clark St & Touhy Ave,42.01256011541,-87.6743671152
Halsted St & Dickens Ave,41.92015583333333,-87.6487945
Cherry Ave & Blackhawk St,41.907221,-87.655618
Broadway & Barry Ave,41.93758231600629,-87.6440978050232
Clark St & Lunt Ave,42.009102166666665,-87.67414433333333
Sheffield Ave & Webster Ave,41.92174,-87.65384866666666
Clark St & Ida B Wells Dr,41.8756265,-87.63118316666667
Stockton Dr & Wrightwood Ave,41.9313835,-87.63872366666666
Hoyne Ave & 47th St,41.808217166666665,-87.67718366666666
Central Park Ave & Ogden Ave,41.85388583333334,-87.71498416666667
Kedzie Ave & Lake St,41.88460328501,-87.7063037436
Damen Ave & Pierce Ave,41.90940366666667,-87.67765283333334
Broadway & Ridge Ave,41.9840446107,-87.6602738295
Kingsbury St & Kinzie St,41.88917683258,-87.6385057718
Rockwell St & Fletcher St,41.94,-87.69
Sheridan Rd & Noyes St (NU),42.058239,-87.677432
Talman Ave & Addison St,41.946667552,-87.694584131
Ashland Ave & 50th St,41.803023,-87.664699
Mies van der Rohe Way & Chestnut St,41.8985866514,-87.6219152258
Rush St & Hubbard St,41.890173,-87.626185
Western Ave & Roscoe St,41.942999363,-87.68728137
Clark St & Elmdale Ave,41.99086044812557,-87.66972362995148
Ellis Ave & 60th St,41.78509714636,-87.6010727606
Loomis St & Jackson Blvd,41.877881765,-87.661969662
Clinton St & 18th St,41.85795,-87.640826
W 103rd St & S Avers Ave,41.71,-87.72
State St & 29th St,41.841707,-87.626938
Kildare Ave & Montrose Ave,41.96108,-87.73569
Loomis St & Archer Ave,41.84166033333333,-87.65752133333334
Bissell St & Armitage Ave,41.91786483333333,-87.65211183333334
Morgan St & 31st St,41.83779833333333,-87.65123233333334
Racine Ave & Randolph St,41.884069,-87.656853
Morgan St & Lake St,41.88577925240433,-87.65102460980414
Ashland Ave & Lake St,41.88592,-87.66717
Wells St & Evergreen Ave,41.906724,-87.63483
Paulina St & Flournoy St,41.87307416666667,-87.66907266666666
Western Ave & Lunt Ave,42.008597851,-87.690481067
Ada St & Washington Blvd,41.882879,-87.6612215
Halsted St & Wrightwood Ave,41.929143,-87.649077
Dearborn Pkwy & Delaware Pl,41.89884533333333,-87.629746
Marshfield Ave & 44th St,41.81402033333333,-87.666621
Wells St & 19th St,41.856749,-87.63382966666667
